"","Protein","X0","X3","X5","X7","X9","X11","X13","X15"
"277","3_CHOYP_F134C.1.1|m.51074",0,0,0,0,0,0,0,0.5
"278","3_CHOYP_HXD3.1.1|m.40287",0,0,0,0,0,0,0.5,0
"279","3_CHOYP_ISCW_ISCW013810.2.2|m.19882",0.5,0,0,0,0,0.5,0,0
"280","3_CHOYP_LOC100061302.1.1|m.47172",0.5,0,0,0,0.5,0,0,0
"281","3_CHOYP_LOC100178700.1.1|m.37554",0,0,0,0,0.5,0,0,0
"282","3_CHOYP_LOC100695438.1.1|m.8594",0,0,0,0,0.5,0,0,0
"283","3_CHOYP_LOC100892150.1.1|m.10319",0,0,0.5,0,0,0,0,0
"284","3_CHOYP_LOC101158923.1.2|m.27410",0,0,0.5,0,0,0,0,0
"285","3_CHOYP_LOC562156.1.2|m.16403",0.5,0.5,0,0,0,0,0,0
"286","3_CHOYP_LOC578599.8.8|m.57682",0,0,0,0,0.5,0,0,0
"287","3_CHOYP_MTBP.1.1|m.17026",0,0,0,0,0,0,0,0.5
"288","3_CHOYP_NEMVEDRAFT_V1G246622.1.1|m.24513",0,0,0,0,0,0,0,0.5
"289","3_CHOYP_OSGI2.1.1|m.11055",0,0,0.5,0,0,0,0,0
"290","3_CHOYP_PHUM_PHUM135440.1.1|m.40573",0,0,0.5,0,0,0,0,0
"291","3_CHOYP_TTL11.1.1|m.51011",0,0,0.5,0,0,0,0,0
"292","3_CHOYP_AGAP_AGAP013102.1.1|m.50186",0,0,0,0,0.5,0,0,0
"293","3_CHOYP_BRAFLDRAFT_131216.1.1|m.8822",0,0,0,0,0.5,0,0,0
"294","3_CHOYP_BRAFLDRAFT_215208.1.1|m.40012",0,0,0,0.5,0,0,0,0
"295","3_CHOYP_BRAFLDRAFT_261940.2.2|m.53422",0,0,0,0,0,0,0,0.5
"296","3_CHOYP_CPIPJ_CPIJ005489.1.1|m.43655",0,0,0,0,0,0.5,0,0
"297","3_CHOYP_CS081.1.1|m.48577",0,0,0,0.5,0,0,0,0
"298","3_CHOYP_DICER.1.3|m.9936",0,0,0.5,0,0,0,0,0
