"Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
5,"3","CHOYP_BRAFLDRAFT_279668.1.1.m.21404",0.1,0.1,0.1,4.0989,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_279937.1.1.m.49979",1.8546,1.89615,7.66385,9.6836,4.0954,7.4819
1,"3","CHOYP_BRAFLDRAFT_280249.1.1.m.26508",8.96995,4.5174,4.7497,7.1373,5.07625,3.1367
1,"3","CHOYP_BRAFLDRAFT_280343.1.1.m.41317",8.8907,10.75145,5.6163,7.59225,2.03625,0.1
3,"3","CHOYP_BRAFLDRAFT_281651.2.8.m.5909",4.13445,8.3648,0.1,0.1,0.1,0.1
5,"3","CHOYP_BRAFLDRAFT_282065.1.2.m.590",0.1,0.1,0.1,1.9672,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_284242.1.1.m.13711",0.1,3.07565,0.1,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_284508.1.1.m.4587",4.6626,4.6235,0.1,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_284774.2.3.m.15260",2.37635,0.1,0.1,0.1,0.1,0.1
5,"3","CHOYP_BRAFLDRAFT_284971.1.1.m.8608",0.1,0.1,0.1,1.94135,0.1,2.53735
3,"3","CHOYP_BRAFLDRAFT_285971.1.1.m.18286",0.1,7.0271,0.1,3.83425,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_290492.1.1.m.21887",0.1,0.1,0.1,0.1,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_57028.1.1.m.55583",8.00965,8.09285,6.7248,5.15865,1.88865,2.261
2,"3","CHOYP_BRAFLDRAFT_58035.2.2.m.65814",0.1,0.1,0.1,0.1,3.3068,7.8239
1,"3","CHOYP_BRAFLDRAFT_59154.3.3.m.53255",5.02535,10.0481,0.1,5.2822,5.6189,0.1
5,"3","CHOYP_BRAFLDRAFT_60200.1.3.m.22201",0.1,0.1,0.1,4.02415,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_60200.1.3.m.22202",0.1,0.1,0.1,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_60200.2.3.m.33251",0.1,0.1,1.67695,1.68555,0.1,0.1
1,"3","CHOYP_BRAFLDRAFT_63459.2.3.m.27933",30.61665,7.3503,2.0395,1.56455,1.67805,0.1
4,"3","CHOYP_BRAFLDRAFT_65518.1.1.m.29803",0.1,0.1,0.1,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_66204.1.3.m.2589",0.1,1.04165,0.1,0.1,0.1,2.7963
3,"3","CHOYP_BRAFLDRAFT_67226.1.1.m.38034",0.1,0.1,8.69555,8.7603,9.29345,0.1
